timestamp,open,high,low,close,volume
2026-02-03 16:00:00,0.465,0.467,0.434,0.451,135622.64
2026-02-03 20:00:00,0.451,0.467,0.447,0.454,131228.468
2026-02-04 00:00:00,0.452,0.462,0.452,0.462,72457.946
2026-02-04 04:00:00,0.462,0.462,0.457,0.46,40157.182
2026-02-04 08:00:00,0.46,0.461,0.451,0.455,43256.054
2026-02-04 12:00:00,0.456,0.456,0.437,0.442,71523.139
2026-02-04 16:00:00,0.441,0.445,0.429,0.445,113329.968
2026-02-04 20:00:00,0.444,0.445,0.431,0.438,64302.899
2026-02-05 00:00:00,0.438,0.442,0.431,0.432,76417.834
2026-02-05 04:00:00,0.433,0.435,0.425,0.429,68117.293
2026-02-05 08:00:00,0.429,0.435,0.421,0.423,112814.625
2026-02-05 12:00:00,0.423,0.425,0.395,0.404,227458.363
2026-02-05 16:00:00,0.402,0.41,0.39,0.393,208634.879
2026-02-05 20:00:00,0.392,0.395,0.375,0.38,250755.034
2026-02-06 00:00:00,0.378,0.393,0.35,0.386,396583.432
2026-02-06 04:00:00,0.386,0.4,0.384,0.39,122678.816
2026-02-06 08:00:00,0.391,0.4,0.387,0.4,148300.964
2026-02-06 12:00:00,0.4,0.413,0.398,0.411,190686.884
2026-02-06 16:00:00,0.411,0.429,0.41,0.422,148000.028
2026-02-06 20:00:00,0.422,0.425,0.417,0.421,67227.66
2026-02-07 00:00:00,0.421,0.423,0.414,0.422,92050.59
2026-02-07 04:00:00,0.421,0.425,0.405,0.409,97898.308
2026-02-07 08:00:00,0.409,0.413,0.406,0.408,65410.996
2026-02-07 12:00:00,0.408,0.42,0.407,0.416,104135.874
2026-02-07 16:00:00,0.415,0.425,0.414,0.419,233681.378
2026-02-07 20:00:00,0.419,0.421,0.416,0.419,44938.835
2026-02-08 00:00:00,0.418,0.421,0.414,0.418,42773.132
2026-02-08 04:00:00,0.417,0.418,0.414,0.418,32208.24
2026-02-08 08:00:00,0.417,0.425,0.415,0.423,60262.634
2026-02-08 12:00:00,0.423,0.425,0.419,0.421,59223.236
2026-02-08 16:00:00,0.421,0.423,0.414,0.423,49313.675
2026-02-08 20:00:00,0.422,0.425,0.415,0.418,47970.188
2026-02-09 00:00:00,0.417,0.423,0.414,0.421,71721.012
2026-02-09 04:00:00,0.422,0.423,0.416,0.416,46838.837
2026-02-09 08:00:00,0.416,0.416,0.402,0.404,77329.256
2026-02-09 12:00:00,0.405,0.414,0.404,0.413,67748.572
2026-02-09 16:00:00,0.413,0.42,0.41,0.418,53447.925
2026-02-09 20:00:00,0.417,0.419,0.411,0.412,51335.324
2026-02-10 00:00:00,0.412,0.414,0.403,0.405,59442.321
2026-02-10 04:00:00,0.405,0.408,0.398,0.402,55801.767
2026-02-10 08:00:00,0.401,0.405,0.398,0.399,56311.742
2026-02-10 12:00:00,0.397,0.402,0.394,0.4,71056.614
2026-02-10 16:00:00,0.4,0.404,0.396,0.399,57753.824
2026-02-10 20:00:00,0.399,0.401,0.396,0.4,39396.825
2026-02-11 00:00:00,0.399,0.402,0.394,0.396,44859.568
2026-02-11 04:00:00,0.396,0.397,0.386,0.386,80967.665
2026-02-11 08:00:00,0.387,0.389,0.384,0.387,103344.661
2026-02-11 12:00:00,0.387,0.395,0.379,0.384,243953.131
2026-02-11 16:00:00,0.383,0.393,0.381,0.392,178179.807
2026-02-11 20:00:00,0.389,0.396,0.386,0.388,136003.657
2026-02-12 00:00:00,0.388,0.394,0.387,0.392,66982.186
2026-02-12 04:00:00,0.391,0.395,0.387,0.391,55414.133
2026-02-12 08:00:00,0.392,0.399,0.389,0.396,68208.683
2026-02-12 12:00:00,0.396,0.398,0.389,0.391,142626.285
2026-02-12 16:00:00,0.391,0.391,0.382,0.388,167691.199
2026-02-12 20:00:00,0.389,0.393,0.385,0.391,60113.328
2026-02-13 00:00:00,0.392,0.393,0.388,0.39,60025.648
2026-02-13 04:00:00,0.39,0.391,0.383,0.389,84217.825
2026-02-13 08:00:00,0.389,0.395,0.388,0.393,61094.586
2026-02-13 12:00:00,0.394,0.408,0.391,0.405,121228.782
2026-02-13 16:00:00,0.405,0.418,0.404,0.417,182320.442
2026-02-13 20:00:00,0.416,0.42,0.415,0.418,78744.936
2026-02-14 00:00:00,0.418,0.42,0.415,0.418,56067.486
2026-02-14 04:00:00,0.418,0.418,0.414,0.417,36356.327
2026-02-14 08:00:00,0.417,0.424,0.417,0.424,42438.93
2026-02-14 12:00:00,0.423,0.424,0.417,0.422,53703.687
2026-02-14 16:00:00,0.422,0.425,0.419,0.425,49294.396
2026-02-14 20:00:00,0.425,0.426,0.421,0.422,59573.514
2026-02-15 00:00:00,0.421,0.422,0.413,0.419,87497.189
2026-02-15 04:00:00,0.418,0.425,0.418,0.425,77841.457
2026-02-15 08:00:00,0.425,0.426,0.414,0.416,57368.306
2026-02-15 12:00:00,0.415,0.417,0.404,0.409,100935.294
2026-02-15 16:00:00,0.408,0.41,0.398,0.402,91972.594
2026-02-15 20:00:00,0.402,0.407,0.401,0.405,40135.356
2026-02-16 00:00:00,0.407,0.409,0.403,0.405,50524.372
2026-02-16 04:00:00,0.405,0.409,0.402,0.405,43668.315
2026-02-16 08:00:00,0.405,0.408,0.401,0.405,72576.972
2026-02-16 12:00:00,0.405,0.41,0.392,0.395,147493.165
2026-02-16 16:00:00,0.395,0.401,0.393,0.398,86246.268
2026-02-16 20:00:00,0.399,0.408,0.397,0.408,63512.003
2026-02-17 00:00:00,0.408,0.411,0.404,0.407,62989.449
2026-02-17 04:00:00,0.407,0.41,0.403,0.408,48509.635
2026-02-17 08:00:00,0.407,0.409,0.401,0.404,56136.955
2026-02-17 12:00:00,0.404,0.408,0.397,0.404,89228.142
2026-02-17 16:00:00,0.404,0.413,0.401,0.407,104955.453
2026-02-17 20:00:00,0.407,0.407,0.403,0.403,49744.429
2026-02-18 00:00:00,0.403,0.405,0.401,0.405,44499.683
2026-02-18 04:00:00,0.404,0.408,0.403,0.408,46715.259
2026-02-18 08:00:00,0.408,0.409,0.4,0.401,43953.694
2026-02-18 12:00:00,0.401,0.408,0.396,0.404,98495.866
2026-02-18 16:00:00,0.405,0.405,0.394,0.397,81640.175
2026-02-18 20:00:00,0.397,0.399,0.395,0.398,61242.106
2026-02-19 00:00:00,0.397,0.4,0.396,0.4,51120.586
2026-02-19 04:00:00,0.4,0.404,0.397,0.402,61308.993
2026-02-19 08:00:00,0.402,0.402,0.396,0.396,53663.705
2026-02-19 12:00:00,0.397,0.398,0.391,0.394,103842.01
2026-02-19 16:00:00,0.394,0.398,0.391,0.396,118606.988
2026-02-19 20:00:00,0.395,0.398,0.393,0.398,44231.57
2026-02-20 00:00:00,0.397,0.4,0.396,0.4,52506.072
2026-02-20 04:00:00,0.399,0.403,0.396,0.401,42894.528
2026-02-20 08:00:00,0.4,0.403,0.397,0.397,55327.991
2026-02-20 12:00:00,0.396,0.404,0.389,0.404,191603.923
2026-02-20 16:00:00,0.404,0.42,0.403,0.414,282049.188
2026-02-20 20:00:00,0.414,0.417,0.412,0.414,60090.206
2026-02-21 00:00:00,0.415,0.418,0.412,0.413,62108.848
2026-02-21 04:00:00,0.415,0.416,0.412,0.415,28796.819
2026-02-21 08:00:00,0.414,0.419,0.413,0.415,50326.09
2026-02-21 12:00:00,0.415,0.419,0.414,0.416,38815.993
2026-02-21 16:00:00,0.416,0.417,0.411,0.413,47182.775
2026-02-21 20:00:00,0.412,0.413,0.408,0.408,44768.155
2026-02-22 00:00:00,0.408,0.409,0.405,0.407,47104.929
2026-02-22 04:00:00,0.406,0.407,0.404,0.406,23737.487
2026-02-22 08:00:00,0.407,0.407,0.403,0.405,29906.102
2026-02-22 12:00:00,0.405,0.405,0.399,0.4,59237.632
2026-02-22 16:00:00,0.4,0.401,0.397,0.4,33854.958
2026-02-22 20:00:00,0.4,0.403,0.398,0.402,33305.954
2026-02-23 00:00:00,0.403,0.403,0.378,0.382,263708.473
2026-02-23 04:00:00,0.382,0.39,0.38,0.39,83992.859
2026-02-23 08:00:00,0.388,0.397,0.387,0.394,69891.43
2026-02-23 12:00:00,0.394,0.399,0.391,0.392,103713.759
2026-02-23 16:00:00,0.393,0.393,0.382,0.385,98567.729
2026-02-23 20:00:00,0.384,0.389,0.384,0.386,55297.424
2026-02-24 00:00:00,0.387,0.389,0.378,0.382,103376.011
2026-02-24 04:00:00,0.382,0.384,0.378,0.382,74745.012
2026-02-24 08:00:00,0.382,0.385,0.38,0.384,60708.734
2026-02-24 12:00:00,0.385,0.388,0.379,0.386,102762.67
2026-02-24 16:00:00,0.387,0.39,0.385,0.388,53599.483
2026-02-24 20:00:00,0.387,0.39,0.386,0.389,41641.751
2026-02-25 00:00:00,0.389,0.405,0.387,0.397,159378.665
2026-02-25 04:00:00,0.398,0.4,0.391,0.396,138998.936
2026-02-25 08:00:00,0.396,0.401,0.396,0.4,55335.856
2026-02-25 12:00:00,0.402,0.418,0.4,0.417,102074.683
2026-02-25 16:00:00,0.417,0.425,0.416,0.423,126702.58
2026-02-25 20:00:00,0.424,0.43,0.411,0.415,126214.549
2026-02-26 00:00:00,0.414,0.418,0.41,0.414,89987.835
2026-02-26 04:00:00,0.413,0.417,0.412,0.414,52660.634
2026-02-26 08:00:00,0.415,0.417,0.409,0.411,79601.449
2026-02-26 12:00:00,0.411,0.415,0.402,0.407,170393.632
2026-02-26 16:00:00,0.406,0.408,0.397,0.404,172852.46
2026-02-26 20:00:00,0.405,0.407,0.402,0.404,51222.854
2026-02-27 00:00:00,0.405,0.409,0.402,0.408,60188.818
2026-02-27 04:00:00,0.407,0.413,0.406,0.41,73114.393
2026-02-27 08:00:00,0.409,0.412,0.396,0.398,94315.096
2026-02-27 12:00:00,0.396,0.399,0.394,0.398,98214.334
2026-02-27 16:00:00,0.397,0.399,0.392,0.396,55332.68
2026-02-27 20:00:00,0.396,0.399,0.391,0.398,49502.228
