dc_period,N,n_flat,flat_acc,n_trend,trend_acc,n_total,score
10,5,37,0.6486486486486487,92,0.5217391304347826,129,0.5008695652173913
10,8,19,0.6842105263157895,92,0.5217391304347826,111,0.3908695652173913
10,12,4,0.5,92,0.5217391304347826,96,0.2808695652173913
10,16,0,0.0,92,0.5217391304347826,92,0.2608695652173913
10,20,0,0.0,92,0.5217391304347826,92,0.2608695652173913
10,25,0,0.0,92,0.5217391304347826,92,0.2608695652173913
15,5,37,0.6486486486486487,76,0.5657894736842105,113,0.5228947368421053
15,8,19,0.6842105263157895,76,0.5657894736842105,95,0.41289473684210526
15,12,8,0.75,76,0.5657894736842105,84,0.34289473684210525
15,16,5,1.0,76,0.5657894736842105,81,0.33289473684210524
15,20,5,1.0,76,0.5657894736842105,81,0.33289473684210524
15,25,0,0.0,76,0.5657894736842105,76,0.28289473684210525
20,5,37,0.6756756756756757,65,0.5692307692307692,102,0.5346153846153846
20,8,19,0.7368421052631579,65,0.5692307692307692,84,0.4246153846153846
20,12,11,0.7272727272727273,65,0.5692307692307692,76,0.3646153846153846
20,16,9,0.6666666666666666,65,0.5692307692307692,74,0.3446153846153846
20,20,9,0.6666666666666666,65,0.5692307692307692,74,0.3446153846153846
20,25,4,0.25,65,0.5692307692307692,69,0.2946153846153846
25,5,37,0.7297297297297297,59,0.5423728813559322,96,0.5411864406779661
25,8,19,0.8421052631578947,59,0.5423728813559322,78,0.4311864406779661
25,12,11,0.9090909090909091,59,0.5423728813559322,70,0.37118644067796613
25,16,9,0.8888888888888888,59,0.5423728813559322,68,0.3511864406779661
25,20,9,0.8888888888888888,59,0.5423728813559322,68,0.3511864406779661
25,25,4,0.75,59,0.5423728813559322,63,0.30118644067796607
30,5,42,0.7619047619047619,54,0.5185185185185185,96,0.5792592592592593
30,8,24,0.875,54,0.5185185185185185,78,0.46925925925925926
30,12,16,0.9375,54,0.5185185185185185,70,0.4092592592592592
30,16,14,0.9285714285714286,54,0.5185185185185185,68,0.38925925925925925
30,20,14,0.9285714285714286,54,0.5185185185185185,68,0.38925925925925925
30,25,9,0.8888888888888888,54,0.5185185185185185,63,0.33925925925925926
